nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Canadá,38008005,9984670,America
Alemania,83149300,357022,Europa
España,47351567,505990,Europa
Japón,125800000,377975,Asia
China,1412600000,9596961,Asia
Sudáfrica,59308690,1219090,Africa
Egipto,102334403,1002450,Africa
Australia,25687041,7692024,Oceania
Nueva Zelanda,5084300,268021,Oceania
Estados Unidos,331002651,9833520,America
uruguay,123789,147258,america
